Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035478854&doi=10.1023%2fA%3a1010933404324&partnerID=40&md5=4b9f43897146098c0df3a2af232cf2f4","Classification; Ensemble; Regression",2-s2.0-0035478854
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042535216&doi=10.1023%2fB%3aVISI.0000029664.99615.94&partnerID=40&md5=41ad3cf67358797730a0a2f02284a746","Image matching; Invariant features; Object recognition; Scale invariance",2-s2.0-3042535216
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80555140075&partnerID=40&md5=63e53cee7a9711760872d4d103e5453a","Model selection; Python; Supervised learning; Unsupervised learning",2-s2.0-80555140075
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249753618&doi=10.1023%2fA%3a1022627411411&partnerID=40&md5=97a8591c7d55575e8c48344379ee2796","efficient learning algorithms; neural networks; pattern recognition; polynomial classifiers; radial basis function classifiers",2-s2.0-34249753618
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141607824&partnerID=40&md5=505ce8839ae28d1cb56a7ff91bd0ad2d",,2-s2.0-0141607824
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955702502&doi=10.1145%2f1961189.1961199&partnerID=40&md5=dd03b423a92c61178036037cfd9e2444","Classification LIBSVM optimization regression support vector machines SVM",2-s2.0-79955702502
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904163933&partnerID=40&md5=b865fd654b3befc5d829dbe5d42b80c3","Deep learning; Model combination; Neural networks; Regularization",2-s2.0-84904163933
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57249084011&partnerID=40&md5=234c45663c3957ae2268abc330a03438","Dimensionality reduction; Embedding algorithms; Manifold learning; Multidimensional scaling; Visualization",2-s2.0-57249084011
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947041871&doi=10.1007%2fs11263-015-0816-y&partnerID=40&md5=ba4833102503cf8586d4f777f98ea99e","Benchmark; Dataset; Large-scale; Object detection; Object recognition",2-s2.0-84947041871
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030211964&doi=10.1023%2fA%3a1018054314350&partnerID=40&md5=acdc477e940ed6f07de3eb71b161cfef",,2-s2.0-0030211964
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346586663&doi=10.1613%2fjair.953&partnerID=40&md5=41cb92c1b2bca5665ce846a089d3aae6",,2-s2.0-0346586663
