Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942436689&doi=10.1109%2fTIP.2003.819861&partnerID=40&md5=c5daf1e844ae994c5641935ce4d84b4c","Error sensitivity; Human visual system (HVS); Image coding; Image quality assessment; JPEG; JPEG2000; Perceptual quality; Structural information; Structural similarity (SSIM)",2-s2.0-1942436689
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035248865&doi=10.1109%2f83.902291&partnerID=40&md5=5954a6c94be92811c7f3b1ca4644d5b9",,2-s2.0-0035248865
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913580146&doi=10.1145%2f2647868.2654889&partnerID=40&md5=df3396ee82bd996a1e4e1e3cf474efe9","Computer vision; Machine learning; Neural networks; Open source; Parallel computation",2-s2.0-84913580146
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023381475&doi=10.1145%2f37402.37422&partnerID=40&md5=9cf5b449b1c1aadd9a99ef4bff1c6bc8",,2-s2.0-0023381475
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026529300&doi=10.1016%2fj.media.2017.07.005&partnerID=40&md5=7a8f8ab63ff9d2cdaab2acbbea2e9c2f","Convolutional neural networks; Deep learning; Medical imaging; Survey",2-s2.0-85026529300
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547760736&doi=10.1109%2fTIP.2007.901238&partnerID=40&md5=2f2cec0f19a90eb6185ee5c828250018","3-D transform shrinkage; Adaptive grouping; Block matching; Image denoising; Sparsity",2-s2.0-34547760736
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023379184&doi=10.1145%2f37402.37406&partnerID=40&md5=7a7839a0a24d6386bfa4c951681cc1ab",,2-s2.0-0023379184
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035384136&doi=10.1016%2fS1361-8415%2801%2900036-6&partnerID=40&md5=ee1fd6305a8c81a6b99c86ca77af756e","Affine transformation; Global optimisation; Multi-resolution search; Multimodal registration; Robustness",2-s2.0-0035384136
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034974417&doi=10.1177%2f003754970107600201&partnerID=40&md5=fdb0b3991f4afc166aa265e11afe8d4e","combinatorial optimi zation; Harmony search; heuristic algorithm; music; optimization",2-s2.0-0034974417
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031362116&doi=10.1109%2f83.650120&partnerID=40&md5=9303cbf4e96683286f3013be352b285d","Fingerprinting; Intellectual property; Multimedia; Security; Steganography; Watermarking",2-s2.0-0031362116
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021724055&doi=10.1109%2fTIP.2017.2662206&partnerID=40&md5=48c724c8d17a8002c3b398cf6da3d9fe","Batch normalization; Convolutional neural networks; Image denoising; Residual learning",2-s2.0-85021724055
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751379736&doi=10.1109%2fTIP.2006.881969&partnerID=40&md5=2f722108f846604701aaaf96e4752272","Bayesian reconstruction; Dictionary learning; Discrete cosine transform (DCT); Image denoising; K-SVD; Matching pursuit; Maximum posteriori (MAP) estimation; Redundancy; Sparse representations",2-s2.0-33751379736
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049312324&doi=10.1109%2fTIP.2010.2050625&partnerID=40&md5=b1aaf8d565c4b693e6b58f67c04d83ae","Face hallucination; image super-resolution (SR); nonnegative matrix factorization; sparse coding; sparse representation",2-s2.0-78049312324
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026972772&doi=10.1145%2f312624.312649&partnerID=40&md5=66c24213420ffe6569c57185d5e68bf2",,2-s2.0-85026972772
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-28944432472&doi=10.1109%2fTIP.2005.859376&partnerID=40&md5=8d34cf5cddc590604909df87803a14a6","Contourlets; Contours; Filter banks; Geometric image processing; Multidirection; Multiresolution; Sparse representation; Wavelets",2-s2.0-28944432472
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032028944&doi=10.1109%2f83.661186&partnerID=40&md5=a4d9f3384d42eb90a53ab5f96deda9f6","Active contour models; Deformable surface models; Edge detection; Gradient vector flow; Image segmentation; Shape representation and recovery; Snakes",2-s2.0-0032028944
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748538349&doi=10.1016%2fj.jmgm.2005.12.005&partnerID=40&md5=057851744c961e8656e553e467ac900c","Antechamber; Atom type perception; Bond type perception; Force field parameters; General AMBER force field (GAFF); Residue topology",2-s2.0-33748538349
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028639150&doi=10.1145%2f311535.311556&partnerID=40&md5=d6f7492cd045eedb9bba5e5b24d8ac80","Computer vision; Facial animation; Facial modeling; Morphing; Photogrammetry; Registration",2-s2.0-85028639150
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960509746&doi=10.1109%2fTIP.2011.2109730&partnerID=40&md5=ebb899ded1e292201c1754e1442463f9","Gradient; image quality assessment (IQA); low-level feature; phase congruency (PC)",2-s2.0-79960509746
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12844262766&doi=10.1145%2f1015706.1015720&partnerID=40&md5=0a131e31829d9cde28d86cb05f0284a3","Alpha Matting; Foreground extraction; Graph Cuts; Image Editing; Interactive Image Segmentation",2-s2.0-12844262766
